15:53:12.311 -> Humidity: 52.50 %, Temp: 29.30 Celsius
15:53:14.336 -> Humidity: 52.10 %, Temp: 29.40 Celsius
15:53:16.327 -> Humidity: 52.20 %, Temp: 29.50 Celsius
15:53:18.353 -> Humidity: 48.90 %, Temp: 29.60 Celsius
15:53:20.346 -> Humidity: 45.30 %, Temp: 29.70 Celsius
15:53:22.362 -> Humidity: 42.00 %, Temp: 29.70 Celsius
15:53:24.378 -> Humidity: 39.60 %, Temp: 29.80 Celsius
15:53:26.386 -> Humidity: 37.60 %, Temp: 29.80 Celsius
15:53:28.379 -> Humidity: 36.00 %, Temp: 29.80 Celsius
15:53:30.396 -> Humidity: 34.60 %, Temp: 29.80 Celsius
15:53:32.413 -> Humidity: 33.80 %, Temp: 29.80 Celsius
15:53:34.401 -> Humidity: 33.30 %, Temp: 29.70 Celsius
15:53:36.418 -> Humidity: 32.50 %, Temp: 29.70 Celsius
15:53:38.428 -> Humidity: 31.70 %, Temp: 29.70 Celsius
15:53:40.416 -> Humidity: 31.00 %, Temp: 29.70 Celsius
15:53:42.444 -> Humidity: 30.20 %, Temp: 29.60 Celsius
15:53:44.459 -> Humidity: 29.70 %, Temp: 29.60 Celsius
15:53:46.445 -> Humidity: 29.50 %, Temp: 29.60 Celsius
15:53:48.447 -> Humidity: 29.60 %, Temp: 29.50 Celsius
15:53:50.481 -> Humidity: 29.60 %, Temp: 29.50 Celsius
15:53:52.471 -> Humidity: 29.40 %, Temp: 29.40 Celsius
15:53:54.502 -> Humidity: 29.20 %, Temp: 29.40 Celsius
15:53:56.493 -> Humidity: 29.00 %, Temp: 29.40 Celsius
15:53:58.493 -> Humidity: 28.80 %, Temp: 29.30 Celsius
15:54:00.524 -> Humidity: 28.90 %, Temp: 29.30 Celsius
15:54:02.530 -> Humidity: 29.80 %, Temp: 29.30 Celsius
15:54:04.516 -> Humidity: 29.60 %, Temp: 29.20 Celsius
15:54:06.541 -> Humidity: 29.50 %, Temp: 29.20 Celsius
15:54:08.564 -> Humidity: 29.40 %, Temp: 29.20 Celsius
15:54:10.547 -> Humidity: 29.20 %, Temp: 29.10 Celsius
15:54:12.550 -> Humidity: 29.20 %, Temp: 29.10 Celsius
15:54:14.563 -> Humidity: 29.20 %, Temp: 29.10 Celsius
15:54:16.577 -> Humidity: 29.10 %, Temp: 29.00 Celsius
15:54:18.575 -> Humidity: 29.00 %, Temp: 29.00 Celsius
15:54:20.593 -> Humidity: 28.90 %, Temp: 28.90 Celsius
15:54:22.595 -> Humidity: 28.80 %, Temp: 28.90 Celsius
15:54:24.623 -> Humidity: 28.90 %, Temp: 28.90 Celsius
15:54:26.610 -> Humidity: 28.90 %, Temp: 28.90 Celsius
15:54:28.633 -> Humidity: 28.90 %, Temp: 28.80 Celsius
15:54:30.623 -> Humidity: 28.90 %, Temp: 28.80 Celsius
15:54:32.629 -> Humidity: 29.30 %, Temp: 28.80 Celsius
15:54:34.665 -> Humidity: 29.80 %, Temp: 28.70 Celsius
15:54:36.654 -> Humidity: 30.00 %, Temp: 28.70 Celsius
15:54:38.680 -> Humidity: 30.30 %, Temp: 28.70 Celsius
15:54:40.690 -> Humidity: 30.80 %, Temp: 28.60 Celsius
15:54:42.673 -> Humidity: 31.50 %, Temp: 28.60 Celsius
15:54:44.694 -> Humidity: 31.50 %, Temp: 28.50 Celsius
15:54:46.708 -> Humidity: 31.50 %, Temp: 28.50 Celsius
15:54:48.694 -> Humidity: 31.60 %, Temp: 28.50 Celsius
15:54:50.723 -> Humidity: 31.50 %, Temp: 28.50 Celsius
15:54:52.736 -> Humidity: 31.20 %, Temp: 28.50 Celsius
15:54:54.724 -> Humidity: 30.90 %, Temp: 28.40 Celsius
15:54:56.740 -> Humidity: 31.00 %, Temp: 28.40 Celsius
15:54:58.740 -> Humidity: 30.90 %, Temp: 28.40 Celsius
15:55:00.771 -> Humidity: 30.70 %, Temp: 28.40 Celsius
